"sex","age","Recency","Frequency","Monetary","Churn"
"M",37,29,11,495894,"Yes"
"F",16,32,14,360099,"Yes"
"F",20,19,3,53009,"Yes"
"M",40,21,20,472247,"Yes"
"M",20,28,13,126458,"Yes"
"M",39,15,11,275277,"Yes"
"F",36,23,18,291023,"Yes"
"M",38,35,7,454297,"Yes"
"F",32,34,17,305777,"Yes"
"M",15,29,2,297275,"Yes"
"F",17,26,2,183071,"Yes"
"M",29,14,3,298038,"Yes"
"M",26,33,3,173490,"Yes"
"M",22,14,8,107533,"Yes"
"F",36,33,20,401145,"Yes"
"F",21,24,18,190525,"Yes"
"M",28,18,20,173650,"Yes"
"M",39,31,9,27659,"Yes"
"M",16,29,19,461348,"Yes"
"M",13,18,5,354822,"Yes"
"M",17,27,17,88776,"Yes"
"M",37,14,3,51694,"Yes"
"F",20,33,14,384197,"Yes"
"F",36,18,19,411141,"Yes"
"F",22,17,3,312539,"Yes"
"M",38,22,6,410329,"Yes"
"M",26,15,6,108113,"Yes"
"M",30,24,15,322809,"Yes"
"M",12,16,15,390493,"Yes"
"M",26,14,20,78536,"Yes"
"F",19,15,14,311845,"Yes"
"M",38,31,7,188409,"Yes"
"M",17,18,15,474585,"Yes"
"F",15,23,12,240319,"Yes"
"M",30,31,6,57768,"Yes"
"M",21,24,6,300138,"Yes"
"F",28,28,19,250586,"Yes"
"F",15,23,12,124310,"Yes"
"M",29,33,16,364218,"Yes"
"F",20,29,16,102398,"Yes"
"F",39,19,6,83250,"Yes"
"F",40,13,10,363430,"Yes"
"F",25,36,6,100419,"Yes"
"F",25,36,5,59237,"Yes"
"M",29,24,16,341449,"Yes"
"M",14,18,9,180136,"Yes"
"F",12,27,20,446431,"Yes"
"M",18,27,7,141742,"Yes"
"M",30,20,7,128067,"Yes"
"F",12,36,4,216013,"Yes"
"F",19,35,6,269243,"Yes"
"M",14,16,4,423814,"Yes"
"M",12,16,15,103604,"Yes"
"M",22,17,19,439661,"Yes"
"M",36,32,2,365541,"Yes"
"M",19,14,18,201904,"Yes"
"M",39,24,7,57775,"Yes"
"M",14,27,18,24910,"Yes"
"M",10,33,20,88312,"Yes"
"M",30,23,6,62731,"Yes"
"M",12,15,17,170876,"Yes"
"M",22,30,5,13088,"Yes"
"M",28,17,16,240950,"Yes"
"F",13,30,13,139164,"Yes"
"M",25,27,4,185356,"Yes"
"M",30,31,15,428578,"Yes"
"M",38,24,8,202202,"Yes"
"F",37,20,12,267345,"Yes"
"F",10,31,5,346452,"Yes"
"M",14,34,14,56841,"Yes"
"F",10,33,17,112910,"Yes"
"M",10,24,13,464065,"Yes"
"M",32,26,16,146746,"Yes"
"F",29,17,20,142860,"Yes"
"M",19,36,15,464531,"Yes"
"F",25,14,12,382994,"Yes"
"F",35,20,20,126528,"Yes"
"M",14,35,8,40945,"Yes"
"F",16,35,11,300947,"Yes"
"M",30,26,20,149700,"Yes"
"F",23,21,18,409055,"Yes"
"M",38,36,3,134259,"Yes"
"M",24,13,14,143086,"Yes"
"M",28,28,18,150776,"Yes"
"M",25,26,7,60181,"Yes"
"M",20,15,12,111414,"Yes"
"M",16,15,19,213139,"Yes"
"F",31,17,13,81972,"Yes"
"F",39,31,4,31740,"Yes"
"M",20,16,3,65534,"Yes"
"M",37,17,18,263180,"Yes"
"F",38,27,15,167058,"Yes"
"F",15,28,18,108602,"Yes"
"M",13,13,6,478953,"Yes"
"M",25,28,14,312135,"Yes"
"F",11,25,9,64195,"Yes"
"M",26,27,9,23802,"Yes"
"F",37,30,14,228705,"Yes"
"M",12,17,15,271122,"Yes"
"M",36,28,14,221354,"Yes"
"M",30,34,10,181683,"Yes"
"M",25,17,2,88331,"Yes"
"F",19,21,5,470042,"Yes"
"M",14,27,4,140087,"Yes"
"M",21,20,17,157340,"Yes"
"M",29,24,16,16373,"Yes"
"M",13,21,2,478472,"Yes"
"M",34,30,3,173586,"Yes"
"M",28,31,12,12476,"Yes"
"M",13,25,6,271631,"Yes"
"F",35,36,3,138858,"Yes"
"F",38,35,7,13330,"Yes"
"M",20,24,5,17983,"Yes"
"F",12,26,8,150343,"Yes"
"M",31,30,9,253195,"Yes"
"F",30,15,9,105500,"Yes"
"M",19,13,18,350228,"Yes"
"M",30,25,5,374378,"Yes"
"M",19,34,9,489276,"Yes"
"M",12,34,10,85774,"Yes"
"M",25,26,4,427941,"Yes"
"F",30,25,4,471431,"Yes"
"M",19,18,6,103759,"Yes"
"M",35,25,9,433774,"Yes"
"F",15,16,3,361103,"Yes"
"M",18,15,16,310465,"Yes"
"M",24,25,12,255860,"Yes"
"M",25,33,14,360358,"Yes"
"M",15,32,2,491573,"Yes"
"M",32,35,10,161996,"Yes"
"M",36,23,8,138477,"Yes"
"M",36,32,11,418504,"Yes"
"F",36,29,12,375054,"Yes"
"F",36,24,11,31700,"Yes"
"M",24,14,11,419328,"Yes"
"M",31,34,11,136065,"Yes"
"F",32,24,17,402658,"Yes"
"M",23,21,3,207690,"Yes"
"M",24,25,16,490683,"Yes"
"M",29,33,10,313473,"Yes"
"M",16,22,6,409104,"Yes"
"M",11,36,9,359316,"Yes"
"M",35,21,2,160932,"Yes"
"M",26,19,5,246498,"Yes"
"M",13,33,14,397098,"Yes"
"M",35,27,10,275545,"Yes"
"F",35,35,10,99100,"Yes"
"M",15,23,9,146077,"Yes"
"M",39,27,3,262701,"Yes"
"F",15,32,4,186260,"Yes"
"M",17,23,3,399327,"Yes"
"M",32,23,4,93009,"Yes"
"M",39,25,3,37510,"Yes"
"M",24,21,20,194799,"Yes"
"M",37,29,13,17025,"Yes"
"M",12,33,20,302475,"Yes"
"M",23,14,9,43106,"Yes"
"F",12,13,12,238324,"Yes"
"M",38,24,9,309495,"Yes"
"M",23,15,7,217349,"Yes"
"M",20,30,12,37341,"Yes"
"M",27,30,7,155302,"Yes"
"M",22,35,11,262783,"Yes"
"F",27,14,19,314740,"Yes"
"M",11,18,10,486555,"Yes"
"F",14,28,18,274823,"Yes"
"M",40,31,20,495337,"Yes"
"M",26,27,3,62442,"Yes"
"F",14,18,9,259640,"Yes"
"F",21,19,15,416335,"Yes"
"F",22,13,12,335978,"Yes"
"F",38,33,9,70609,"Yes"
"F",17,24,11,190965,"Yes"
"M",18,24,13,410030,"Yes"
"F",16,33,8,376563,"Yes"
"F",32,31,8,30842,"Yes"
"F",11,33,2,438842,"Yes"
"F",39,16,4,310027,"Yes"
"M",31,27,15,178850,"Yes"
"F",38,22,16,129363,"Yes"
"F",23,18,20,167937,"Yes"
"F",13,29,10,339609,"Yes"
"M",11,21,15,264626,"Yes"
"F",15,21,9,37679,"Yes"
"M",36,22,18,204416,"Yes"
"M",32,25,13,325257,"Yes"
"M",17,31,16,215995,"Yes"
"F",25,15,17,420450,"Yes"
"F",31,34,3,189557,"Yes"
"M",15,25,18,161138,"Yes"
"M",32,35,12,346308,"Yes"
"M",27,14,4,307291,"Yes"
"F",20,23,3,134242,"Yes"
"M",36,19,14,157531,"Yes"
"F",30,34,11,445687,"Yes"
"F",33,30,16,171477,"Yes"
"M",31,16,4,108159,"Yes"
"M",35,26,10,200176,"Yes"
"M",36,36,14,244520,"Yes"
"M",18,32,6,342298,"Yes"
"M",16,17,15,369744,"Yes"
"F",10,35,12,147401,"Yes"
"M",24,30,15,167412,"Yes"
"M",23,13,8,372532,"Yes"
"F",13,35,12,452584,"Yes"
"M",13,22,15,491189,"Yes"
"M",18,34,3,79934,"Yes"
"F",29,20,16,63743,"Yes"
"F",10,23,12,35910,"Yes"
"M",26,24,13,208807,"Yes"
"M",37,33,13,168267,"Yes"
"F",32,22,10,116367,"Yes"
"M",16,19,6,304169,"Yes"
"M",33,26,17,434690,"Yes"
"M",29,22,20,466839,"Yes"
"F",19,31,17,490909,"Yes"
"M",19,15,15,452020,"Yes"
"F",36,26,11,478256,"Yes"
"M",16,30,5,380756,"Yes"
"M",16,24,6,105967,"Yes"
"M",40,13,15,74641,"Yes"
"F",38,21,13,247810,"Yes"
"M",31,19,12,239092,"Yes"
"F",29,34,8,478233,"Yes"
"M",27,16,18,175130,"Yes"
"M",29,28,3,411414,"Yes"
"M",20,20,4,339397,"Yes"
"M",30,20,9,276588,"Yes"
"M",23,31,4,413928,"Yes"
"M",16,14,20,372400,"Yes"
"F",10,14,12,91448,"Yes"
"M",31,27,11,279681,"Yes"
"F",36,15,13,42992,"Yes"
"M",19,18,6,19768,"Yes"
"M",34,32,13,211988,"Yes"
"M",22,36,7,122807,"Yes"
"M",37,28,13,314292,"Yes"
"F",33,33,7,308132,"Yes"
"M",36,35,16,332524,"Yes"
"M",11,33,16,92518,"Yes"
"M",26,16,19,184614,"Yes"
"M",23,31,19,123777,"Yes"
"M",40,29,18,287936,"Yes"
"M",26,36,9,461589,"Yes"
"M",28,22,12,283852,"Yes"
"F",20,20,6,287031,"Yes"
"M",40,21,20,476705,"Yes"
"M",25,36,2,301383,"Yes"
"F",24,36,12,191982,"Yes"
"M",28,27,19,343045,"Yes"
"M",22,22,18,250663,"Yes"
"M",22,14,11,232581,"Yes"
"M",18,27,12,96327,"Yes"
"M",14,34,7,10165,"Yes"
"M",15,35,11,71500,"Yes"
"M",22,28,20,312093,"Yes"
"M",37,18,14,82549,"Yes"
"M",10,28,12,311870,"Yes"
"M",16,27,8,386405,"Yes"
"M",23,24,5,463463,"Yes"
"M",28,20,9,279986,"Yes"
"M",12,36,15,399055,"Yes"
"M",33,25,14,433874,"Yes"
"M",35,17,3,231751,"Yes"
"M",15,16,20,427679,"Yes"
"M",15,19,17,459737,"Yes"
"M",25,26,17,14413,"Yes"
"M",39,15,13,160875,"Yes"
"M",40,23,11,410064,"Yes"
"M",26,14,2,53117,"Yes"
"M",24,25,20,480693,"Yes"
"M",13,28,16,91074,"Yes"
"M",31,29,6,379766,"Yes"
"M",25,34,18,39230,"Yes"
"M",35,36,2,37473,"Yes"
"M",25,29,19,318696,"Yes"
"M",11,19,10,449029,"Yes"
"M",11,17,18,165201,"Yes"
"M",40,30,6,131536,"Yes"
"F",33,27,20,431608,"Yes"
"M",16,19,14,179564,"Yes"
"M",35,30,11,373683,"Yes"
"M",36,25,18,482910,"Yes"
"M",16,16,9,35742,"Yes"
"M",30,26,7,488465,"Yes"
"F",11,18,11,393365,"Yes"
"F",16,18,8,384092,"Yes"
"M",24,29,12,465497,"Yes"
"M",25,30,3,371721,"Yes"
"M",32,28,14,428706,"Yes"
"F",21,13,14,303569,"Yes"
"M",39,34,8,99950,"Yes"
"M",13,25,16,116976,"Yes"
"M",11,25,3,75640,"Yes"
"M",36,35,15,354735,"Yes"
"M",19,22,20,196640,"Yes"
"M",32,29,7,303712,"Yes"
"M",40,24,15,62529,"Yes"
"M",20,16,4,291851,"Yes"
"F",12,27,13,20709,"Yes"
"M",37,17,11,117411,"Yes"
"F",26,17,5,30095,"Yes"
"M",23,29,10,107821,"Yes"
"M",15,13,4,96081,"Yes"
"F",30,16,20,199297,"Yes"
"F",39,26,9,100333,"Yes"
"M",30,14,14,374189,"Yes"
"F",27,31,16,180346,"Yes"
"M",32,13,9,86671,"Yes"
"M",29,29,19,122261,"Yes"
"F",31,35,16,338781,"Yes"
"M",13,34,4,71287,"Yes"
"M",26,23,10,255614,"Yes"
"F",14,22,9,347569,"Yes"
"F",35,20,16,432780,"Yes"
"F",31,28,4,279141,"Yes"
"F",22,31,2,368570,"Yes"
"F",19,18,8,283124,"Yes"
"M",33,34,18,456184,"Yes"
"F",32,26,17,267607,"Yes"
"M",39,27,18,185059,"Yes"
"F",36,33,20,403991,"Yes"
"M",26,13,2,195503,"Yes"
"F",29,29,18,158418,"Yes"
"F",14,22,11,135267,"Yes"
"F",35,26,4,447752,"Yes"
"M",32,16,6,280265,"Yes"
"F",17,23,9,256853,"Yes"
"M",36,18,20,102317,"Yes"
"M",34,30,4,414225,"Yes"
"M",12,17,14,251257,"Yes"
"M",13,34,11,96121,"Yes"
"M",31,14,5,256288,"Yes"
"M",38,17,3,68537,"Yes"
"F",32,32,15,276319,"Yes"
"F",37,28,9,174021,"Yes"
"M",34,31,12,224331,"Yes"
"F",32,25,18,19385,"Yes"
"M",30,25,4,369695,"Yes"
"F",16,31,14,174122,"Yes"
"M",23,30,9,498902,"Yes"
"F",27,28,6,327216,"Yes"
"M",28,17,4,81165,"Yes"
"M",21,13,7,239931,"Yes"
"F",11,36,12,327261,"Yes"
"M",12,13,10,449090,"Yes"
"F",37,29,12,68215,"Yes"
"M",20,36,8,375321,"Yes"
"M",22,28,2,207094,"Yes"
"M",21,36,18,371442,"Yes"
"M",30,19,11,493206,"Yes"
"F",14,18,16,406562,"Yes"
"F",11,26,3,259952,"Yes"
"M",18,26,13,14564,"Yes"
"M",21,34,16,143518,"Yes"
"F",27,18,19,192530,"Yes"
"M",20,23,19,220908,"Yes"
"M",23,19,12,412070,"Yes"
"F",31,22,18,169329,"Yes"
"M",28,14,5,316451,"Yes"
"M",26,15,11,474247,"Yes"
"M",21,18,17,218744,"Yes"
"F",25,27,12,436234,"Yes"
"M",11,35,11,234796,"Yes"
"F",31,17,4,272004,"Yes"
"M",24,30,5,167608,"Yes"
"F",20,17,6,96308,"Yes"
"M",18,28,11,495060,"Yes"
"F",26,19,10,487144,"Yes"
"M",26,16,10,197114,"Yes"
"M",40,33,8,196282,"Yes"
"F",26,33,11,290283,"Yes"
"F",22,28,19,25144,"Yes"
"F",34,29,16,465533,"Yes"
"M",21,34,19,497937,"Yes"
"F",10,32,19,17568,"Yes"
"M",34,26,14,443496,"Yes"
"M",19,20,11,484042,"Yes"
"M",31,36,5,206534,"Yes"
"M",13,13,4,496343,"Yes"
"M",24,13,12,174000,"Yes"
"F",15,18,4,302134,"Yes"
"F",11,19,11,483158,"Yes"
"F",33,23,9,67177,"Yes"
"M",38,20,11,145829,"Yes"
"M",39,36,19,151621,"Yes"
"F",36,31,8,342298,"Yes"
"M",35,14,12,403539,"Yes"
"M",32,31,16,119678,"Yes"
"M",25,35,14,378561,"Yes"
"M",25,16,18,32439,"Yes"
"F",38,27,8,129540,"Yes"
"M",13,21,17,339866,"Yes"
"M",20,23,9,224829,"Yes"
"F",21,15,12,388735,"Yes"
"M",33,26,11,35817,"Yes"
"M",34,23,4,269766,"Yes"
"M",33,14,4,280281,"Yes"
"M",30,16,10,236325,"Yes"
"M",18,22,2,212105,"Yes"
"M",23,25,19,354094,"Yes"
"F",30,27,11,464073,"Yes"
"F",29,29,8,357567,"Yes"
"F",35,31,14,313382,"Yes"
"F",16,16,12,496402,"Yes"
"M",26,16,20,32808,"Yes"
"M",29,15,16,484488,"Yes"
"M",34,36,8,121784,"Yes"
"F",30,21,13,271493,"Yes"
"M",24,17,7,55876,"Yes"
"F",23,36,8,353571,"Yes"
"F",37,13,17,338827,"Yes"
"M",31,18,17,467619,"Yes"
"M",24,26,20,51914,"Yes"
"F",13,28,13,187128,"Yes"
"F",19,13,20,97147,"Yes"
"M",29,33,8,78503,"Yes"
"M",13,14,19,423533,"Yes"
"M",34,19,5,123808,"Yes"
"M",29,22,8,480620,"Yes"
"F",21,23,6,240449,"Yes"
"M",36,19,5,341605,"Yes"
"M",34,18,14,222623,"Yes"
"M",27,27,5,305996,"Yes"
"M",29,17,4,133386,"Yes"
"M",37,26,16,415577,"Yes"
"F",18,20,3,464389,"Yes"
"F",12,31,11,482434,"Yes"
"M",12,30,9,141201,"Yes"
"F",10,35,5,461892,"Yes"
"M",14,33,2,138381,"Yes"
"F",31,35,15,237079,"Yes"
"M",14,16,15,21124,"Yes"
"M",27,33,10,374593,"Yes"
"M",10,21,12,488360,"Yes"
"M",31,29,2,438777,"Yes"
"M",12,29,8,13712,"Yes"
"M",28,27,11,84618,"Yes"
"M",30,27,7,66701,"Yes"
"M",40,16,17,91561,"Yes"
"M",32,19,17,179183,"Yes"
"M",14,16,15,170967,"Yes"
"M",33,29,16,156051,"Yes"
"M",40,21,19,250842,"Yes"
"M",23,15,19,116910,"Yes"
"M",29,19,15,273912,"Yes"
"M",29,28,18,263189,"Yes"
"F",38,24,6,389113,"Yes"
"F",10,22,19,304506,"Yes"
"F",24,30,6,316627,"Yes"
"M",26,14,13,418661,"Yes"
"F",24,16,17,202374,"Yes"
"M",25,28,8,186642,"Yes"
"F",12,30,7,382697,"Yes"
"M",20,27,12,395855,"Yes"
"M",26,31,4,409214,"Yes"
"M",36,35,2,35759,"Yes"
"M",31,13,19,310241,"Yes"
"F",27,23,19,202842,"Yes"
"M",17,30,11,156024,"Yes"
"M",33,26,8,209141,"Yes"
"F",32,20,7,117079,"Yes"
"M",11,21,18,202377,"Yes"
"F",34,29,20,484702,"Yes"
"M",32,18,7,364474,"Yes"
"M",12,28,2,54592,"Yes"
"M",38,34,17,431018,"Yes"
"M",14,27,12,294246,"Yes"
"M",19,19,10,221159,"Yes"
"M",26,34,11,388514,"Yes"
"M",19,34,2,271598,"Yes"
"M",14,34,6,397725,"Yes"
"M",33,16,6,63374,"Yes"
"F",15,33,9,488686,"Yes"
"M",23,29,15,273540,"Yes"
"M",31,17,9,82968,"Yes"
"F",11,23,4,204983,"Yes"
"M",14,19,3,182959,"Yes"
"M",13,35,20,423408,"Yes"
"M",17,24,14,59725,"Yes"
"M",24,21,18,190602,"Yes"
"M",26,20,3,300460,"Yes"
"F",38,21,8,310461,"Yes"
"M",16,16,10,102990,"Yes"
"F",38,29,18,445813,"Yes"
"M",32,26,3,170250,"Yes"
"F",23,25,7,336792,"Yes"
"M",31,20,3,437934,"Yes"
"F",14,20,5,162020,"Yes"
"M",27,22,2,272866,"Yes"
"M",16,22,15,203199,"Yes"
"M",24,26,8,220037,"Yes"
"M",20,24,6,347426,"Yes"
"M",16,32,12,412451,"Yes"
"M",20,14,9,80442,"Yes"
"M",27,27,19,468613,"Yes"
"M",19,15,15,384884,"Yes"
"M",39,21,16,490098,"Yes"
"F",10,14,15,174647,"Yes"
"M",25,23,17,412134,"Yes"
"M",15,17,8,312503,"Yes"
"F",30,31,17,82770,"Yes"
"M",15,25,17,118917,"Yes"
"M",26,33,20,144462,"Yes"
"M",39,23,19,335478,"Yes"
"M",17,18,16,98727,"Yes"
"M",14,22,14,336850,"Yes"
"F",11,28,16,249119,"Yes"
"M",33,22,5,166846,"Yes"
"M",13,26,18,57880,"Yes"
"M",21,15,14,98400,"Yes"
"M",10,27,7,78219,"Yes"
"M",23,36,16,146928,"Yes"
"M",40,24,7,75617,"Yes"
"F",33,31,19,218672,"Yes"
"M",16,13,7,104079,"Yes"
"F",30,26,2,267740,"Yes"
"M",27,36,18,129063,"Yes"
"M",33,19,4,391026,"Yes"
"M",33,15,14,134746,"Yes"
"F",34,36,15,251699,"Yes"
"M",16,35,5,437925,"Yes"
"M",12,30,5,383340,"Yes"
"F",40,15,11,265072,"Yes"
"M",17,17,2,348637,"Yes"
"F",39,25,2,318236,"Yes"
"M",29,31,18,300351,"Yes"
"M",10,21,18,109171,"Yes"
"F",22,16,5,330415,"Yes"
"M",12,22,6,479127,"Yes"
"F",26,28,4,468820,"Yes"
"M",39,20,5,157482,"Yes"
"M",28,13,10,470414,"Yes"
"M",35,25,13,369673,"Yes"
"M",33,16,20,113598,"Yes"
"F",39,26,14,128818,"Yes"
"M",15,15,6,80891,"Yes"
"M",30,19,6,140961,"Yes"
"F",15,30,14,465286,"Yes"
"M",33,19,6,135256,"Yes"
"M",34,28,18,68504,"Yes"
"M",34,14,4,100837,"Yes"
"M",26,30,20,21192,"Yes"
"F",25,14,7,256448,"Yes"
"M",10,15,12,417639,"Yes"
"F",19,16,14,475648,"Yes"
"M",10,34,10,174937,"Yes"
"M",10,27,2,377388,"Yes"
"M",21,13,16,201443,"Yes"
"M",17,30,13,99697,"Yes"
"F",40,33,13,352883,"Yes"
"M",34,32,4,104877,"Yes"
"F",27,21,9,354974,"Yes"
"M",31,34,6,209743,"Yes"
"M",17,16,13,293316,"Yes"
"F",28,28,8,204735,"Yes"
"M",38,16,19,97586,"Yes"
"M",29,34,5,169036,"Yes"
"M",17,15,2,391300,"Yes"
"M",28,33,9,386483,"Yes"
"M",12,13,10,364362,"Yes"
"M",39,34,5,411925,"Yes"
"M",32,29,4,114672,"Yes"
"F",18,35,12,179099,"Yes"
"M",14,18,6,57658,"Yes"
"M",20,17,19,482143,"Yes"
"M",14,13,20,24380,"Yes"
"M",25,24,6,194508,"Yes"
"M",18,14,4,227072,"Yes"
"M",39,34,6,414314,"Yes"
"M",26,23,19,447380,"Yes"
"M",33,15,9,316097,"Yes"
"M",17,34,20,142758,"Yes"
"M",15,29,12,50175,"Yes"
"F",14,21,11,100746,"Yes"
"M",38,33,3,92562,"Yes"
"M",20,22,9,494282,"Yes"
"F",24,22,10,97574,"Yes"
"F",15,22,4,472214,"Yes"
"M",34,13,8,381090,"Yes"
"M",36,14,9,159876,"Yes"
"F",18,32,7,457405,"Yes"
"M",39,30,2,153458,"Yes"
"F",12,23,20,245704,"Yes"
"F",14,18,2,147201,"Yes"
"F",37,35,14,427120,"Yes"
"M",10,28,5,408448,"Yes"
"M",11,16,5,157362,"Yes"
"F",14,33,17,323170,"Yes"
"M",18,17,2,442259,"Yes"
"M",12,22,8,114007,"Yes"
"M",18,17,14,209858,"Yes"
"M",33,26,4,156826,"Yes"
"M",30,17,8,53689,"Yes"
"F",14,32,5,98741,"Yes"
"M",30,36,4,258219,"Yes"
"M",36,32,3,177276,"Yes"
"M",24,13,10,173352,"Yes"
"F",36,26,5,180660,"Yes"
"M",22,28,17,379622,"Yes"
"M",26,36,19,68738,"Yes"
"F",25,34,18,115390,"Yes"
"F",15,27,7,334644,"Yes"
"M",32,33,2,188047,"Yes"
"M",24,28,9,285958,"Yes"
"F",24,29,15,181527,"Yes"
"M",29,35,6,464119,"Yes"
"M",25,27,19,170448,"Yes"
"M",14,32,9,77458,"Yes"
"M",28,13,19,404773,"Yes"
"M",29,23,17,213987,"Yes"
"F",28,20,15,405335,"Yes"
"M",40,30,8,382359,"Yes"
"M",26,13,9,124279,"Yes"
"M",12,27,18,342505,"Yes"
"F",21,13,13,327635,"Yes"
"F",36,35,9,383730,"Yes"
"F",17,22,18,136808,"Yes"
"M",14,19,9,240471,"Yes"
"M",18,33,2,326373,"Yes"
"M",28,17,12,395311,"Yes"
"M",40,25,12,368934,"Yes"
"F",20,31,7,453543,"Yes"
"M",29,15,14,239005,"Yes"
"F",11,29,19,201761,"Yes"
"F",34,22,13,176712,"Yes"
"F",29,21,12,373478,"Yes"
"F",21,36,2,428318,"Yes"
"M",10,15,14,142226,"Yes"
"M",13,34,3,405640,"Yes"
"M",21,26,15,147065,"Yes"
"M",30,26,7,140902,"Yes"
"M",37,14,16,121021,"Yes"
"M",33,26,13,425234,"Yes"
"M",32,15,20,398559,"Yes"
"M",25,33,10,376640,"Yes"
"M",14,27,16,285270,"Yes"
"F",18,19,11,24666,"Yes"
"M",31,30,18,477878,"Yes"
"F",21,15,13,222578,"Yes"
"F",25,21,18,155279,"Yes"
"F",17,16,20,437739,"Yes"
"M",30,20,2,302725,"Yes"
"F",13,29,14,89962,"Yes"
"M",11,21,19,160025,"Yes"
"M",17,23,9,131913,"Yes"
"M",27,14,13,270729,"Yes"
"M",29,29,6,402427,"Yes"
"M",20,27,17,116164,"Yes"
"M",13,35,20,173886,"Yes"
"F",36,13,15,249821,"Yes"
"M",39,23,20,196003,"Yes"
"M",20,31,14,361541,"Yes"
"M",10,24,17,363600,"Yes"
"M",20,22,17,66681,"Yes"
"M",30,29,9,495910,"Yes"
"M",34,20,18,209723,"Yes"
"F",13,20,5,347253,"Yes"
"M",33,31,18,29714,"Yes"
"M",28,20,8,206615,"Yes"
"F",18,33,18,252581,"Yes"
"F",15,21,3,411719,"Yes"
"F",40,18,6,424196,"Yes"
"F",34,16,17,182070,"Yes"
"M",35,30,2,174197,"Yes"
"M",34,25,6,160775,"Yes"
"M",30,28,12,453207,"Yes"
"M",40,26,5,315862,"Yes"
"M",13,27,14,68432,"Yes"
"M",40,36,11,429185,"Yes"
"M",35,35,13,372186,"Yes"
"M",10,19,18,441721,"Yes"
"F",28,26,20,313845,"Yes"
"M",11,29,5,290065,"Yes"
"M",15,16,15,243502,"Yes"
"F",33,29,18,230244,"Yes"
"F",22,13,3,403783,"Yes"
"F",12,24,10,286952,"Yes"
"M",40,16,14,180711,"Yes"
"M",36,21,5,200526,"Yes"
"M",33,22,18,439235,"Yes"
"M",22,32,10,154376,"Yes"
"M",12,30,9,268951,"Yes"
"M",15,35,7,198194,"Yes"
"M",39,26,16,17226,"Yes"
"M",29,17,5,35495,"Yes"
"M",24,15,17,356990,"Yes"
"M",37,23,11,18229,"Yes"
"M",23,21,3,126129,"Yes"
"F",27,32,17,285990,"Yes"
"F",18,31,15,437125,"Yes"
"F",25,35,19,62114,"Yes"
"M",27,24,17,182762,"Yes"
"F",10,32,18,40125,"Yes"
"F",30,18,5,429813,"Yes"
"F",21,36,17,143337,"Yes"
"M",12,19,8,291144,"Yes"
"F",40,22,8,379606,"Yes"
"F",36,36,20,270001,"Yes"
"M",20,19,7,393206,"Yes"
"M",10,35,13,421974,"Yes"
"M",10,21,14,178876,"Yes"
"M",23,33,19,81866,"Yes"
"F",30,14,13,395227,"Yes"
"M",29,13,13,24203,"Yes"
"F",23,13,13,271186,"Yes"
"M",40,24,6,78443,"Yes"
"M",34,32,10,56502,"Yes"
"M",40,28,6,29752,"Yes"
"M",21,31,17,202522,"Yes"
"M",29,22,12,172032,"Yes"
"F",40,34,7,182868,"Yes"
"M",16,19,9,258156,"Yes"
"M",29,34,6,209783,"Yes"
"M",19,14,7,415208,"Yes"
"F",15,15,20,146277,"Yes"
"F",22,23,10,486361,"Yes"
"M",37,17,7,339870,"Yes"
"F",34,30,10,80361,"Yes"
"M",32,34,18,398808,"Yes"
"F",27,13,15,45095,"Yes"
"M",18,30,14,448221,"Yes"
"M",27,27,16,18675,"Yes"
"M",39,30,13,179657,"Yes"
"M",13,26,16,80958,"Yes"
"F",29,34,11,390273,"Yes"
"M",13,13,16,499603,"Yes"
"M",23,25,2,204455,"Yes"
"F",38,23,8,201383,"Yes"
"M",33,24,13,327004,"Yes"
"F",31,23,20,162816,"Yes"
"M",40,16,7,310953,"Yes"
"F",14,20,7,235332,"Yes"
"M",23,19,4,262668,"Yes"
"F",35,24,14,82319,"Yes"
"M",34,16,20,209691,"Yes"
"F",35,23,8,184910,"Yes"
"F",27,19,16,480755,"Yes"
"F",30,35,12,143451,"Yes"
"M",40,18,3,271622,"Yes"
"M",24,14,13,122900,"Yes"
"M",14,30,8,294859,"Yes"
"M",32,23,16,388991,"Yes"
"M",21,16,2,227989,"Yes"
"M",19,25,8,319240,"Yes"
"F",30,15,10,406541,"Yes"
"F",35,33,16,47411,"Yes"
"M",27,23,18,306292,"Yes"
"F",13,26,11,419371,"Yes"
"M",27,24,2,69296,"Yes"
"F",10,16,7,207476,"Yes"
"M",21,24,13,344088,"Yes"
"M",27,31,10,264909,"Yes"
"M",24,19,13,482379,"Yes"
"M",33,30,7,111288,"Yes"
"M",40,29,16,416660,"Yes"
"F",33,30,7,244525,"Yes"
"M",14,25,9,462163,"Yes"
"M",39,30,4,83487,"Yes"
"F",19,35,19,52540,"Yes"
"F",40,35,16,389465,"Yes"
"M",14,23,6,194602,"Yes"
"M",40,28,13,346198,"Yes"
"M",40,32,9,239783,"Yes"
"F",13,26,11,124755,"Yes"
"M",24,19,10,122343,"Yes"
"M",11,29,5,437802,"Yes"
"M",28,29,12,474372,"Yes"
"F",33,17,16,58919,"Yes"
"M",16,17,2,74546,"Yes"
"F",30,31,11,276343,"Yes"
"F",29,33,3,383581,"Yes"
"M",14,25,18,463234,"Yes"
"M",34,21,20,111657,"Yes"
"M",13,14,5,358886,"Yes"
"M",34,20,9,203462,"Yes"
